id,screen_name,followers_count,score
441636351,MEAIndia,2273730,3
704775526737547264,IndiainNZ,24377,-1
1317605189701017601,JuttShekari,3511,13
3484088653,judedavid21,7114,2
1368124507521773568,SairaAs56080192,7875,1
26792275,ForeignPolicy,1210009,2
622325669,Luikki,3122,2
2554131522,HeshmatAlavi,83290,5
1333774146807980033,AlisonBoxxer,6494,1
1228437899126816768,ElleDR2,3509,1
40173650,robinsnewswire,23836,2
15349653,BlackInformant,23669,1
3390765359,andischl,5301,2
270132611,lindyli,203248,2
33078093,vegasbanks,3015,2
557334459,TimHannan,88571,3
19127931,itarjan,5480,1
2551264213,gomiriam63,4073,3
14529929,jaketapper,3342804,1
18159985,jillrussia,23757,1
18798286,cryborg,40769,2
46525929,Sundog512,10787,2
328756439,ResisterSis20,110965,1
355989081,ANI,6946346,6
837172729010847744,ajmeripoet,7878,1
878284831,OccupyDemocrats,356522,-3
1020834536777822210,radioguy181,3516,1
64643056,RT_com,3094961,11
2850344184,jacquescupido12,3806,2
255925055,APO_source,11904,0
2522628416,ICD_PS,10857,1
1051066584100429824,IRIMFA_EN,53794,-1
1026763113352359936,IraninIslamabad,5406,-1
19489239,Jerusalem_Post,562678,7
863216444,MariaCuomoCole,13359,1
1116465890290274311,JonPegasus,5252,-1
2358057750,guyelster,22428,2
1225382429080391680,LongCovidHell,3058,1
3306558887,HAS_veille,4041,-1
130445082,ZurichInsUK,16528,1
1306136273782935553,MentalHealthBo5,13298,1
19898168,CNBCi,145358,4
612473,BBCNews,13954750,1
65581806,Scott1984FP,3008,2
1430497892314218502,Resist_05,33371,1
928862103431254016,ZenMeoww,3122,1
6323932,Tinu,49223,1
1157594288752144384,beingSohaib27,3004,1
1158394472016859136,OprosUK,3860,3
24048150,gibbsy66,15282,1
1062111076232454146,BunduForAfrika,2801,0
17390474,antoniabance,9468,-1
1468961041,SlurrieSociety,9970,1
2298704174,Culldogfarms,5826,1
808713626739687424,LTorsk,6396,1
289273038,mallottk,4553,1
74237061,manori_r,4446,2
439373778,nasser__mo3gza,9963,0
149783479,mirul_syaf,7879,1
14955722,KCStar,298138,1
19965994,SouthamptonCC,51177,1
1502838924594802694,THVBODY,3567,1
1065376186807844865,Moyorshola,13880,-1
898306340,TheBeaconHx,6147,1
1430605174674964480,JDunlap1974,23447,-1
1490276936920219652,MeliTsegu,3726,5
1272802061445402625,EduMinistryPK,313751,1
277071541,isldy,2627,1
1468533997102067716,theEverEarn,10302,-1
351593857,GFheadlines,4649,1
2379056251,overtime,1164588,0
35868325,BASportsGuy,35711,1
3478252935,curvastone,5654,1
1382912376597479427,MediaAnalystOz,14246,2
1060852075175665664,jchimselfbigpo2,3012,1
30296165,witchhusband,92850,-10
27408267,sidherian,3320,1
1038235795,mackaysuzie,6209,1
3147067215,Yeehaa25,3379,1
17682476,Jansant,10732,2
14476016,AdamBienkov,97570,11
1143848268,GeziWoman,4881,2
16832632,MrKRudd,1589733,3
242936818,johnnol1,3707,1
3246790436,MichaelSpring17,22259,-1
57844251,piff0diddy,6178,-1
34613951,BLaw,141099,1
1227965903758864384,PritiNot,8877,2
954686606312706049,eusucksall,2576,-1
875612784863531008,Juliest101,15989,2
4201924096,TrudyTa95329047,2984,1
1696270640,ntmhennig,2813,-1
1561123663,brfootball,4742733,0
2863455280,advocate_silayo,85298,1
897226416722456576,ghusee_walker,10632,1
1070247376722501633,888Tron,8264,2
167709941,carlmarkham,17738,2
418041078,bryte_carison,7267,1
319522800,akhbaralyawm,5496,0
631908927,Newskarnataka,4286,0
389416911,WebDPN,5665,1
77445818,neiljonesgoal,207457,5
1049274739171057664,AmirMerican,3065,1
1304604369195761666,1mZer0Cool,10927,-1
59490293,Global_Witness,78845,1
1019974187975430144,ExtinctionR,398357,1
1011804409863593984,sharkyrae,26949,1
1069843489762926592,IndianYIP,33778,1
575702002,AkashvaniAIR,430099,-1
1085290065490632704,ProudAFAmerican,9030,-2
1346847727536238595,rn_wing,21495,4
162063442,sumlenny,111834,1
271376020,Michael__Baskin,3117,2
1426505223967809545,Shakeelkhan_PTI,4132,1
5680622,LibDems,331164,1
